Be_a_Pro_Baseball_Player.txt	Inside_Revision	0.807	## Steps	156	When you get drafted to the pros you will first go to the minor leagues .	## Tips	739	If you get drafted to the pros you will first go to the minor leagues .	<replace><When><1><If><1>	True	Steps  1. Play middle school baseball if your school has it. 2. Play high school baseball. Get a scholarship to play for a College team. 3.	.
Breed_Gerbils.txt	Begin_Revision	0.946	Intro	15468	Once your gerbils are grown up , you 'll have new pets that you can choose to breed again !	Intro	15526	When your gerbils are grown up , you 'll have new pets that you can choose to breed again !	<replace><Once><1><When><1>	True	Gerbils make great pets, and breeding them is a good way to pass down traits. Each litter usually consists of 1-8 young known as pups. If you're thinking about breeding your gerbils, make sure they get along with one another so they can mate. Once the pups are born, it's easy to care them since the parents do most of the work.	.
Be_a_Scene_Kid.txt	Begin_Revision	0.935	## Warnings	24075	When hardcore dancing , make sure you can do it before you go to a show .	## Warnings	24147	While hardcore dancing , make sure you can do it before you go to a show .	<replace><When><1><While><1>	True	Warnings  * Whining and complaining will quickly get you labeled poseur or worse, emo. * When moshing, be aware of the people around you, and be aware of yourself. If you stand on the outside of the pit, that automatically makes you a sentry for the ones that prefer not to dance. *	You don't want to get in the middle and start looking like a spastic hyena. Watch other people first for a while or watch videos with hardcore dancing. Learn the simple moves and progress.
Apply_for_a_Concealed_Carry_Permit.txt	Begin_Revision	0.861	## Tips	1106	"""""""But note that states that are """""""" may issue """""""" rarely recognize out-of-state permits ."""""""	## Tips	1154	"""""""However , note that states that are """""""" may issue """""""" rarely recognize out-of-state permits ."""""""	<insert><However><1>|||<replace><But><1><,><2>	True	Tips  * You may benefit from reading the actual law verses just the website. Sometimes websites do not get updated when the law changes and may be out-of-date. Less often, websites will post incorrect information to misinform permit seekers. * Consider applying for an out-of-state permit. If your state does not issue you a permit, another state may. Be sure to check whether your state recognizes out-of-state permits.	.
Be_a_Logger.txt	Begin_Revision	0.934	### Finding a Logging Job	794	And treat each staff member you meet in their office as if they are a part of the interview process – because they may have some influence in the process .	### Finding a Logging Job	880	Also , treat each staff member you meet in their office as if they are a part of the interview process – because they may have some influence in the process .	<insert><Also><1>|||<replace><And><1><,><2>	True	Finding a Logging Job  1. Join a professional trade association for leads on jobs. The Forest Resources Association and the American Loggers Council provide members with job listings, as well as informative articles on industry trends and prospects. Go on their websites and apply for individual membership to improve your job search odds. * Pay particular attention to information on industry trends in different states. You don’t want to relocate to a state for a job that may evaporate in a couple of years. * Look for positions in logging towns. Search for positions in cities and towns in heavily forested states that include wood and wood products as a top export. 2. Use online job search boards to find leads on positions. Set up email alerts for search terms including the words “logger” and “entry-level” on popular job boards, such as Careerbuilder, Monster, and Indeed. Search these job boards periodically for open positions as well. * These sites allow you to store a resume and cover letter in your account to help you apply quickly when an opening is posted on their site. Take advantage of this feature to avoid missing opportunities! 3. Interview for a position when you land an interview opportunity. Show up on time and show your enthusiasm for the position. Answer all questions clearly and concisely. Incorporate your understanding of the company’s needs and prospects into your answers.	.
Apply_a_No_7_Serum.txt	Begin_Revision	0.964	### Moisturizing Your Skin	80	If applying your serum in the morning , stick your finger into a jar of No 7 day cream and scoop out a little bit with your finger .	### Moisturizing Your Skin	127	After applying your serum in the morning , stick your finger into a jar of No 7 day cream and scoop out a little bit with your finger .	<replace><If><1><After><1>	True	Moisturizing Your Skin  1. Moisturize with the No 7 day cream every morning. The No 7 serum contains several beneficial anti-aging properties but it doesn’t have moisturizing properties.	Massage in into your skin to ensure that your face is properly moisturized and protected from the sun.
Buy_Feminine_Products_Without_Being_Embarrassed.txt	Begin_Revision	0.925	## Tips	1051	But they get tons of customers each day , they wo n't remember you .	## Tips	1092	Since they get tons of customers each day , they wo n't remember you .	<replace><But><1><Since><1>	True	Tips  * Remember, that you are not buying anything that has not been seen or advertised on television. Half of the population is female and knows what you're dealing with. * Try to stop being embarrassed about it. You need these products just like laundry detergent and toilet paper. Nobody gets embarrassed about buying toilet paper, even though everyone uses it while their pants are down. Every other person on average uses feminine products. * The cashiers handle customers who buy feminine products all day long. They're used to it and they've seen it a million times - to them it's just another regular customer. If they're women, they're probably using the very same products. * If you are really embarrassed about buying feminine products, use a self-checkout. A lot of grocery stores have them. * If it makes you extremely self conscious, you can always order them online. * Look into reusable products, like cloth pads and menstrual cups. Generally you have to order these online in the privacy of your home. Also you need to restock less often; one cup lasts for about ten years, and a couple pads can be used a hundred or so times. See  Make Your Period Eco Friendly. * Remember that most of the time, you don't know the checkout person. Chances are, you'll never see them again, unless you go back during their shift.	.
Act_when_the_Police_Pull_You_Over_(USA).txt	Inside_Revision	0.878	### Reacting to Being Pulled Over	12634	However , tell him if you take medications or have an illness that can cause driving problems .	### Reacting to Being Pulled Over	12814	But , tell him if you take medications or have an illness that can cause driving problems .	<replace><However><1><But><1>	True	"Reacting to Being Pulled Over  1. Know your rights. A police officer can pull you over for any traffic violation, no matter how minor. They can even follow you and wait for you to commit a traffic violation. Even if you've been pulled over for no reason, do not fight with the police officer or act in a threatening or hostile manner. If you do, the officer could react by arresting you or retaliating in some other way. * A police officer cannot pull you over because of your age, race or the type of car you drive. If you believe that you've been pulled over for an illegal reason, record the interaction between yourself and the police officer, if possible. Simply place your cell phone on your dashboard and hit “record.” 2. Look for a convenient spot to pull over. Simply slowing down and activating your turn signal will usually be enough to indicate to the officer that you intend to pull over within reasonable distance. Try to find a close parking lot or wide shoulder of the road. Many officers will appreciate the consideration.center|550px * If it's dark and you are alone, you have the right to drive to a well-lit area, such as a gas station, before stopping. If you plan to drive until you find a safe place, dial 911 and let them know that you are being pulled over by a police officer and that you are driving until you find a well-lit safe place to pull over. The 911 operator will communicate this information to the police officer. 3. Relax. Even though getting pulled over by a police officer is scary, you will be okay even if you get a traffic ticket. Take a deep breath and remember that police officers are not evil or scary. They are there to help protect everyone.center|550px 4. Roll down your driver's side window, along with any windows that are tinted. If it is dark, turn on interior lights. Make all your movements slowly. The officer is watching you carefully to make sure you're not drawing a weapon or hiding something. Do not reach for anything in the passenger compartment of your vehicle or under your seat. As the officer approaches, put your hands on the steering wheel where the officer can see them.center|550px * Generally, you don't need to shut off your car engine unless you are asked to do so by the police officer. Instead, you should place your car in park and shut off the ignition of your car while still keeping your keys in the ignition. 5. Don't speak first. When the officer comes over to your car, he will usually ask for your license and registration, and is not obliged to tell you why he pulled you over before you comply. When you move your hands, tell the officer that you are getting your license and registration. Get them slowly and deliberately. If you're in a dark area, the officer will follow your hands with his flashlight. Finish this process before anything else, then put your hands back on the wheel. While the officer checks your license and vehicle status via radio, keep your hands on the steering wheel.center|550px * If you don't have a license or registration, the officer can arrest you for driving without them or can give you a ticket. However, if you have a good excuse for not having a license or registration, the officer may allow you to show another form of picture id that he can use to look you up. This is completely discretionary, so try to never drive without your car registration and license. 6. Keep your answers non-committal and brief. Open-ended questions can get you into trouble, especially if the officer is trying to extract admissions out of you that can be used against you in court. Here are a few examples of how you should answer questions:center|550px * If you are asked, ""Do you know why I stopped you?"" say ""No."" * If you are asked, ""Do you know how fast you were going?"" say ""Yes."" Answering ""No"" to this question will lead the officer to believe that you are ignorant of the speed limit or how fast you are going. However, if you truly do not know, you can say “I think I was going around X speed.” * If the officer asks, ""Do you have a good reason that would make you need to hurry?"" say, ""No."" If you say ""yes,"" then even if you were not speeding the officer will believe that you were, and you'll probably get a ticket. * If he asks ""Have you been drinking?"" and you have not been, say ""no"" in case you were stopped for driving in an erratic manner."	.
Act_when_the_Police_Pull_You_Over_(USA).txt	Begin_Revision	0.953	### Reacting to Being Pulled Over	12722	"""""""However , if you truly do not know , you can say """""""" I think I was going around X speed . """""""""""""""	### Reacting to Being Pulled Over	12812	"""""""But , if you truly do not know , you can say """""""" I think I was going around X speed . """""""""""""""	<replace><However><1><But><1>	True	"Reacting to Being Pulled Over  1. Know your rights. A police officer can pull you over for any traffic violation, no matter how minor. They can even follow you and wait for you to commit a traffic violation. Even if you've been pulled over for no reason, do not fight with the police officer or act in a threatening or hostile manner. If you do, the officer could react by arresting you or retaliating in some other way. * A police officer cannot pull you over because of your age, race or the type of car you drive. If you believe that you've been pulled over for an illegal reason, record the interaction between yourself and the police officer, if possible. Simply place your cell phone on your dashboard and hit “record.” 2. Look for a convenient spot to pull over. Simply slowing down and activating your turn signal will usually be enough to indicate to the officer that you intend to pull over within reasonable distance. Try to find a close parking lot or wide shoulder of the road. Many officers will appreciate the consideration.center|550px * If it's dark and you are alone, you have the right to drive to a well-lit area, such as a gas station, before stopping. If you plan to drive until you find a safe place, dial 911 and let them know that you are being pulled over by a police officer and that you are driving until you find a well-lit safe place to pull over. The 911 operator will communicate this information to the police officer. 3. Relax. Even though getting pulled over by a police officer is scary, you will be okay even if you get a traffic ticket. Take a deep breath and remember that police officers are not evil or scary. They are there to help protect everyone.center|550px 4. Roll down your driver's side window, along with any windows that are tinted. If it is dark, turn on interior lights. Make all your movements slowly. The officer is watching you carefully to make sure you're not drawing a weapon or hiding something. Do not reach for anything in the passenger compartment of your vehicle or under your seat. As the officer approaches, put your hands on the steering wheel where the officer can see them.center|550px * Generally, you don't need to shut off your car engine unless you are asked to do so by the police officer. Instead, you should place your car in park and shut off the ignition of your car while still keeping your keys in the ignition. 5. Don't speak first. When the officer comes over to your car, he will usually ask for your license and registration, and is not obliged to tell you why he pulled you over before you comply. When you move your hands, tell the officer that you are getting your license and registration. Get them slowly and deliberately. If you're in a dark area, the officer will follow your hands with his flashlight. Finish this process before anything else, then put your hands back on the wheel. While the officer checks your license and vehicle status via radio, keep your hands on the steering wheel.center|550px * If you don't have a license or registration, the officer can arrest you for driving without them or can give you a ticket. However, if you have a good excuse for not having a license or registration, the officer may allow you to show another form of picture id that he can use to look you up. This is completely discretionary, so try to never drive without your car registration and license. 6. Keep your answers non-committal and brief. Open-ended questions can get you into trouble, especially if the officer is trying to extract admissions out of you that can be used against you in court. Here are a few examples of how you should answer questions:center|550px * If you are asked, ""Do you know why I stopped you?"" say ""No."" * If you are asked, ""Do you know how fast you were going?"" say ""Yes."" Answering ""No"" to this question will lead the officer to believe that you are ignorant of the speed limit or how fast you are going."	.
Act_in_an_Indian_Elementary_School.txt	Begin_Revision	0.824	## Steps	284	But do n't feel shy to wear these during special occasions .	## Steps	331	However , do n't feel shy to wear these during special occasions .	<insert><However><1>|||<replace><But><1><,><2>	True	Steps  1. Observe dress styles. Most elementary schools in India wear uniforms. It is compulsory to wear them. Huge earrings, Sparkly necklaces, Bracelets, Anklets are strictly prohibited. You might find in a little strange that it is so strict in dress codes, but in India it is a very, very common thing. But you can get used to it. Sometimes, during special occasions and festivals, you are free to wear colored clothing, but again, some (not all) schools don't allow sleeveless tops and short pants. 2. Don't wear Makeup. This is a law: NO MAKEUP ALLOWED. Yes, you are not supposed to wear lipstick, blush powders (normal powders are allowed), eye shadows etc. Kajal is allowed in most schools, but some silly schools don't even allow them.	.
